idea,title_a,title_b,title_b_preferred
Regularization (ML),5 Key Regularization Techniques for ML Models,How Regularization Can Save Your Machine Learning Project,0
Generative adversarial networks (GANs),5 Key Concepts in GANs Explained,How GANs Work: The Ultimate Guide,1
Evaluating binary classification models,Binary Classification Metrics: A Deep Dive,5 Key Metrics for Binary Classification Models,1
RAG,Build Your Own RAG System in 30 Minutes,Unlock the Power of RAG with These 5 Steps,0
Python tutorial for AI beginners,Python AI Basics: Your Ultimate Guide,Python for AI: Start Coding Today!,0
Statistics for data scientists,Master Stats for Data Science in 30 Minutes,Statistics 101: Essential Concepts for Data Scientists,0
LLM Fine-tuning FAQ,LLM Fine-tuning 101: 7 Essential FAQs,LLM Fine-tuning Demystified: 6 FAQs You Need to Know,0
text embedding models,Introduction to Text Embedding Models: The Basics,Text Embedding Models: From Theory to Practice,1
Expectation maximization,5 Key Steps in Expectation Maximization Explained,How Expectation Maximization Can Boost Your Data Science Skills,1
"My $15,000 content creation strategy",7 Secrets to Boosting Your Content Game (Free!),How I Generated $15K+ with These Content Tactics,1
decision trees,Decision Trees 101: The Ultimate Guide,Build Your Own Decision Tree in 10 Minutes,0
LLMs,Unlock LLM Potential: 5 Must-Know Techniques,LLMs vs. Humans: Who Will Win in 2025?,1
causal discovery,The Ultimate Guide to Causal Discovery,Master Causal Discovery with These 3 Simple Steps,0
decision tree ensembles,Master Decision Tree Ensembles in Just 10 Minutes,Build Stronger Models with These Decision Tree Techniques,0
KMeans,How KMeans Can Transform Your Data Analysis,Boost Your Data Skills with KMeans Clustering,0
"P-Values. definition, examples, and misconceptions",5 Key Points About P-Values You Need to Know,"Understanding P-Values: Definitions, Examples, and Misconceptions",1
2 plots for exploratory data analysis,Uncover Insights with These 2 EDA Plots,Visualize Data Magic with These 2 Plots,0
Spectral clustering,Spectral Clustering Simplified: A Step-by-Step Guide,Master Spectral Clustering with These 3 Easy Techniques,0
How to handle imbalanced data in ML,5 Tricks to Handle Imbalanced Data Like a Pro,The Ultimate Guide to Dealing with Imbalanced Data,1
5 AI automation use cases,AI Takes Over: 5 Automation Success Stories,From Manual to Automated: 5 AI Case Studies,0
AI for business,AI in Business: 5 Key Strategies for Success,AI for Business: Real-World Examples Explained,1
Time series forecasting techniques,5 Essential Time Series Forecasting Techniques,Predict the Future with These Time Series Methods,0
How to think like a data scientist,How to Develop a Data Scientist Mindset,From Novice to Data Scientist: Thinking Strategies,0
"P-Values. definition, examples, and misconceptions","P-Values Explained: Definitions, Examples, and Myths","Understanding P-Values: Definitions, Examples, and Misconceptions",0
the Mapper algorithm,How the Mapper Algorithm Simplifies Complex Data,Mapper Algorithm: The Power Behind Data Analysis,0
reinforcement learning with human feedback (RLHF),5 Key Steps in RLHF for Better AI Models,Real-World RLHF Examples That Will Blow Your Mind,1
Gini value vs gini coefficient vs Gini impurity,"Understanding Gini Value, Coefficient, & Impurity in 5 Minutes","Gini Value, Coefficient, & Impurity: Which One to Use?",0
decision trees,How Decision Trees Can Boost Your Predictions,Decision Trees vs Other Models: Which to Choose?,0
Spectral clustering,How Spectral Clustering Can Transform Your Data Analysis,Unleash the Power of Spectral Clustering in Just 10 Minutes,1
How to handle missing data,5 Clever Ways to Fill Missing Data (Explained),Missing Data? 3 Easy Techniques You Need to Know,1
Statistics for data scientists,How Statistics Predicts the Future | Data Science,Statistics 101: Essential Concepts for Data Scientists,1
Expectation values,The Surprising Power of Expectation Values Explained,Master Expectation Values: A Step-by-Step Guide,0
GitHub for data science,Git for Data Science: Tips & Tricks You Need to Know,GitHub Secrets Every Data Scientist Should Know,1
Practical use case with decision trees,5 Key Steps to Build a Decision Tree Model,Real-World Decision Trees: A Practical Guide,1
Interviewing 10 upwork millionaires,Inside the Minds of Upwork Millionaires,Unveiling the Success of 10 Upwork Millionaires,0
text embedding models,How Text Embedding Models Transform NLP,Text Embedding Models: From Theory to Practice,1
Logistic regression,5 Key Points in Logistic Regression Explained,Real-World Examples of Logistic Regression Success,1
principal component analysis,Master PCA in Just 10 Minutes,PCA Explained: A Beginner's Guide,1
Power law scaling on Youtube,How I Grew My Channel 10x Using Power Laws,Power Law Scaling: The Key to YouTube Success,1
Why I quit my 6F data science job,My Shocking 1-Year Post-Job Quit Success Story,Quitting Data Science for Something Better: My Story,1
Customer segmentation with text embeddings,Unlock Customer Insights with Text Embeddings,Advanced Customer Segmentation Using Text Embeddings,1
fat tailed distribtions,The Surprising Truth About Fat-Tailed Risks,Fat-Tailed Distributions: What You Need to Know,1
model pruning,How to Prune Models Like a Pro in 2024,Reduce Model Size & Boost Performance with Pruning,1
Continual learning (ML),How to Stay Updated in ML: My 3-Step Plan,Master ML Continuously: Tips from an Expert,0
"P-Values. definition, examples, and misconceptions","P-Values Decoded: Definitions, Examples, and Common Mistakes","P-Values 101: Definitions, Examples, and Common Misunderstandings",0
persistent homology,Introduction to Persistent Homology: Topological Data Analysis,Simplifying Persistent Homology for Beginners,1
multimodal AI,Multimodal AI: The Future of Data Processing,How Multimodal AI Combines Text & Images,1
Gini value vs gini coefficient vs Gini impurity,"Gini Value, Coefficient, & Impurity: What’s the Difference?","Understanding Gini Value, Coefficient, & Impurity in 5 Minutes",0
5 AI automation use cases,Streamline Your Work with These 5 AI Automations,From Manual to Automated: 5 AI Case Studies,0
LLM post-training,How LLMs Evolve Post-Training: Insights Revealed,Post-Training Secrets: Boosting LLM Performance,1
What is entropy?,Entropy Explained in 5 Minutes,Entropy: The Basics You Need to Know,0
topological data analysis,How Topological Data Analysis Shapes AI,Unveiling Patterns: Topological Data Analysis 101,1
"Deploying ML solutions with FastAPI, Docker, and AWS","FastAPI, Docker, AWS: Deploy ML Models Like a Pro","Deploy ML with Ease: FastAPI, Docker, AWS - Full Walkthrough",0
Logistic regression,Master Logistic Regression with These 3 Simple Steps,Logistic Regression: The Basics You Need to Know,1
5 AI project ideas,Build These AI Projects in Under an Hour,5 AI Projects That Make You Look Smart,0
decision trees,Build Your Own Decision Tree in 10 Minutes,Decision Trees vs Other Models: Which to Choose?,0
Fuzzy decision trees,Fuzzy Logic: The Future of Decision Trees,How Fuzzy Decision Trees Simplify Complex Choices,1
Hyperparameter optimization,Hyperparameter Optimization: A Beginner's Guide,The Ultimate Guide to Hyperparameter Optimization for ML Models,0
Expectation maximization,Unleash the Power of Expectation Maximization in 5 Minutes,Maximizing Expectations: A Beginner's Guide to EM Algorithm,0
Power law scaling on Youtube,How I Grew My Channel 10x Using Power Laws,The Power Law Formula for YouTube Growth,1
reinforcement learning with human feedback (RLHF),How RLHF Transforms AI: A Beginner's Guide,Master RLHF: The Ultimate Guide for 2024,0
KMeans,Unsupervised Learning Made Easy with KMeans,Boost Your Data Skills with KMeans Clustering,0
"Naive Bayes, Naive Bayes filter",Naive Bayes Filter Explained: A Beginner's Guide,Naive Bayes Simplified: A Data Scientist's Perspective,0
stable diffusion models,Introduction to Stable Diffusion Models: The Basics,Understanding Stable Diffusion Models for Beginners,1
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",5 Ways to Measure Distribution Differences in 2024,KS-test vs KL Divergence: Which One Should You Use?,1
Python tutorial for AI beginners,Learn AI with Python in 30 Minutes,Python for AI: Start Coding Today!,0
GitHub for data science,How to Use GitHub Like a Pro in Data Science,GitHub Secrets Every Data Scientist Should Know,1
Hierarchical clustering,How Hierarchical Clustering Can Transform Your Data,The Ultimate Guide to Hierarchical Clustering for Data Science,1
Key lessons from interviews with top upwork data science freelancers,How Top Upwork Data Scientists Boost Their Income,Maximize Your Upwork Data Science Gigs: Expert Advice,1
Generative adversarial networks (GANs),GANs 101: From Basics to Breakthroughs,The Power of GANs: Real-World Applications Explained,1
How to detect fat tailed distributions,Understanding Fat Tailed Distributions Like a Pro,Detecting Fat Tailed Distributions: A Step-by-Step Guide,1
Fine-tuning multimodal embedding models,Fine-Tuning Multimodal Embeddings: A Step-by-Step Guide,Boost Your Multimodal Models with These Techniques,0
How to measure fat tailed distributions,Understanding Fat Tailed Distributions Like a Pro,How to Accurately Measure Fat Tailed Distributions,1
Mechanistic interpretability,Dive into Mechanistic Interpretability: What You Need to Know,How Mechanistic Interpretability Can Unveil Model Secrets,1
SHAP values,How SHAP Values Can Improve Your ML Models,SHAP Values Explained: A Beginner's Guide,1
Building a resume optimizer with AI,How I Built a Resume Optimizer Using AI (Code Tutorial),AI-Powered Resume Optimizer: From Idea to Code,0
decision trees,Decision Trees 101: The Ultimate Guide,Master Decision Trees with These 5 Tips,1
How to detect fat tailed distributions,How to Identify Fat Tailed Distributions in 5 Minutes,Fat Tailed Distributions: What They Are and How to Find Them,0
Expectation maximization,How Expectation Maximization Can Boost Your Data Science Skills,Solving Complex Problems with Expectation Maximization,1
fat tailed distribtions,Fat-Tailed Distributions: What You Need to Know,Beyond Normal: Exploring Fat-Tailed Distributions,1
Full-stack data science skillset,Full-Stack Data Science: From A to Z,Build a Full-Stack Data Scientist Skillset,0
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,Sensitivity Analysis 101: A Data Scientist's Guide,How Sensitivity Analysis Impacts Your Data Projects,0
Fine-tuning BERT for text classification,Master Text Classification with BERT: A Step-by-Step Guide,From Raw Data to Classification Model: Fine-Tuning BERT Efficiently,0
5 biases every data scientist should know (and how to avoid them),5 Common Biases Data Scientists Fall Into (And How to Avoid Them),Avoid These 5 Deadly Biases in Data Science (Video),1
Customer segmentation with text embeddings,How Text Embeddings Simplify Customer Segmentation,Advanced Customer Segmentation Using Text Embeddings,1
Fourier transform,Decode Any Signal with Fourier Transform Magic,Fourier Transform: The Essential Guide for Beginners,1
"My $15,000 content creation strategy",7 Secrets to Boosting Your Content Game (Free!),"My Proven $15,000 Content Creation Blueprint",1
Fine-tuning LLMs on human feedback,The Secret to Better LLMs: Fine-Tuning Tips,Maximize LLMs with These Human Feedback Techniques,1
Why I quit my 6F data science job,From Data Scientist to Entrepreneur: My Unexpected Path,Quitting Data Science for Something Better: My Story,0
Spectral clustering,5 Key Concepts in Spectral Clustering Explained,How Spectral Clustering Can Transform Your Data Analysis,0
wavelet transform,Introduction to Wavelet Transform: The Power Behind Signal Processing,Master Wavelet Transform in Just 10 Minutes!,1
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence","Distribution Differences Explained: KS-test, KL, & More",How to Choose the Right Distance Metric for Distributions,0
model quantization,Reduce Model Size & Speed Up Inference with Quantization,Boost Your AI Model Efficiency with Quantization Techniques,1
7 ways to make money as a data entrepreneur.,7 Data Entrepreneur Money Hacks!,7 Ways to Monetize Your Data Expertise,1
Fine-tuning FLUX.1 on images of me,5 Steps to Fine-Tuning FLUX.1 Like a Pro,FLUX.1 Fine-Tuning Tips: From Zero to Hero,1
RL with AI feedback,Get AI Feedback Faster with These RL Tips,Master RL with AI Guidance: 5 Key Steps,1
Fine-tuning multimodal embedding models,Fine-Tuning Multimodal Embeddings: A Step-by-Step Guide,The Ultimate Guide to Fine-Tuning Multimodal Models,1
Building an AI app in 4 days,How I Built an AI App in Just 4 Days,4-Day Guide: Building Your First AI App,0
stable diffusion models,How Stable Diffusion Models Generate Stunning Images,Understanding Stable Diffusion Models for Beginners,1
persistent homology,How Persistent Homology Can Transform Your Data Analysis,Master Persistent Homology: A Step-by-Step Guide,0
7 ways to make money as a data entrepreneur.,7 Data Entrepreneur Money Hacks!,How I Made $50K+ as a Data Biz Owner,1
model distillation,How Model Distillation Can Save Your Time & Resources,Boost Model Performance with Just 10 Lines of Code,0
Fine-tuning LLMs for computer use,Boost Your LLM Skills: Fine-Tuning for Computer Use,Fine-Tuning LLMs: A Comprehensive Guide,1
Expectation values,Understanding Expectation Values in 5 Minutes,Master Expectation Values: A Step-by-Step Guide,0
Continual learning (ML),How to Stay Updated in ML: My 3-Step Plan,Top 5 Resources for Ongoing ML Education,1
Statistics for data scientists,Boost Your Data Science Skills with These Stats,Statistics 101: Essential Concepts for Data Scientists,1
Spectral clustering,5 Key Concepts in Spectral Clustering Explained,Master Spectral Clustering with These 3 Easy Techniques,0
2 plots for exploratory data analysis,Exploring Data Like a Pro in 2 Plots,Visualize Data Magic with These 2 Plots,0
KMeans,How KMeans Can Transform Your Data Analysis,KMeans Simplified: A Beginner's Guide,1
stable diffusion models,Introduction to Stable Diffusion Models: The Basics,Step-by-Step Guide to Building Stable Diffusion Models,0
RAG,Build Your Own RAG System in 30 Minutes,Why RAG is the Future of Knowledge Bases,0
Fine-tuning LLMs with QLoRA,How I Used QLoRA to Boost LLM Performance,Unlock LLM Potential with QLoRA: A Beginner's Guide,0
"AI risk, safety, and alignment",How to Ensure AI Safety in 2025,"The Future of AI: Risks, Safety, and Alignment",1
RAG,How RAG is Revolutionizing Information Retrieval,Build Your Own RAG System in 30 Minutes,1
Intro independent component analysis,How I Simplify Independent Component Analysis in 5 Minutes,Independent Component Analysis: The Basics Explained,1
SHAP values,5 Key SHAP Values You Need to Know,Unlock SHAP Values for Better Model Interpretation,1
5 biases every data scientist should know (and how to avoid them),5 Common Biases Data Scientists Fall Into (And How to Avoid Them),How to Identify and Overcome 5 Key Biases in Data Science,1
Expectation maximization,5 Key Steps in Expectation Maximization Explained,Maximizing Expectations: A Beginner's Guide to EM Algorithm,1
Genetic algorithm,How Genetic Algorithms Can Solve Complex Problems,Master Genetic Algorithms with These 3 Simple Steps,0
Synthetic data generation with LLMs,5 Ways LLMs Can Revolutionize Synthetic Data,Generate Synthetic Data Like a Pro with LLMs,1
AI agents,Unleash AI Agents: The Ultimate Productivity Hack,AI Agents vs Humans: Who Wins in Productivity?,1
principal component analysis,Principal Component Analysis Simplified,Unleash the Power of PCA with These Tips,0
5 AI project discovery questions,5 AI Projects to Boost Your Portfolio,Uncover These 5 AI Projects for Your Resume,0
Fine-tuning BERT for text classification,5 Steps to Fine-Tuning BERT Like a Pro,Master Text Classification with BERT: A Step-by-Step Guide,1
"Fractals, self similarity, and crinkliness",5 Surprising Facts About Fractals and Self-Similarity,How Fractals Explain the World’s Most Complex Patterns,1
How to think like a data scientist,5 Thinking Habits of Successful Data Scientists,Unlock Data Science Thinking: A Beginner's Guide,0
Neural network dropout,How Dropout Regularizes Neural Networks,Neural Network Dropout: A Beginner's Guide,1
"AI risk, safety, and alignment",How to Ensure AI Safety in 2025,Aligning AI: 3 Key Steps to Success,0
model distillation,The Power of Knowledge Distillation Explained,From Complex to Compact: Model Distillation Made Easy,0
Fine-tuning LLMs for tool use,5 Steps to Fine-Tune LLMs Like a Pro,Mastering LLM Fine-Tuning for Real-World Tools,1
stable diffusion models,Introduction to Stable Diffusion Models: The Basics,Stable Diffusion Models: Revolutionizing Image Generation,0
model distillation,How Model Distillation Can Save Your Time & Resources,From Complex to Compact: Model Distillation Made Easy,0
How to handle missing data,5 Clever Ways to Fill Missing Data (Explained),How to Handle Missing Data Like a Pro,1
causal effects with regression,Regression Analysis for Causal Effects,How Regression Reveals Causal Effects,0
"AI risk, safety, and alignment",5 Critical AI Risks You Must Know,Navigating AI Ethics: What You Need to Know,0
LLM post-training,4 Key Steps in LLM Post-Training Success,Post-Training Secrets: Boosting LLM Performance,1
LLM post-training,Post-Training Secrets: Boosting LLM Performance,Post-Training Innovations: The Future of LLMs Unveiled,0
How to think like a data scientist,5 Thinking Habits of Successful Data Scientists,From Novice to Data Scientist: Thinking Strategies,0
AI engineer vs ML engineer,Key Differences: AI Engineer vs ML Engineer Explained,AI Engineer vs ML Engineer: Career Paths Compared,1
What is an AI project manager?,How AI Project Managers Drive Success,Behind the Scenes: AI Project Manager's Duties,0
Variational autoencoders,How Variational Autoencoders Can Revolutionize Your Projects,"Encode, Decode, Learn: A Guide to Variational Autoencoders",1
What is entropy?,Understanding Entropy Like a Pro,Entropy: The Basics You Need to Know,1
LLM post-training,4 Key Steps in LLM Post-Training Success,Post-Training Innovations: The Future of LLMs Unveiled,1
Gradient descent,5 Key Steps in Gradient Descent Explained,Master Gradient Descent: A Beginner's Guide,1
LLM alignment,How LLMs Can Align with Your Values,LLM Alignment: What You Need to Know,1
How to handle imbalanced data in ML,The Ultimate Guide to Dealing with Imbalanced Data,Avoid These 3 Mistakes When Handling Imbalanced Data,0
Fine-tuning multimodal embedding models,How to Improve Multimodal Models in Just 30 Minutes,Boost Your Multimodal Models with These Techniques,0
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",5 Ways to Measure Distribution Differences in 2024,Wasserstein & Jensen-Shannon: Mastering Distribution Comparisons,0
Building an LLM from scratch,The Ultimate LLM Blueprint: Build One Yourself,How to Build an LLM: The Complete Guide,1
wavelet transform,Introduction to Wavelet Transform: The Power Behind Signal Processing,Wavelet Transform: Decoding Signals Like a Pro,1
RL with AI feedback,Get AI Feedback Faster with These RL Tips,How AI Improves My RL Workflow,1
5 AI automation use cases,5 AI Automation Hacks to Boost Productivity,From Manual to Automated: 5 AI Case Studies,0
Habituation in causal inference,Understanding Habituation in Causal Inference,How Habituation Impacts Causal Analysis,1
Generative adversarial networks (GANs),Build Your Own GANs in 15 Minutes,GANs 101: From Basics to Breakthroughs,0
"Fractals, self similarity, and crinkliness",5 Surprising Facts About Fractals and Self-Similarity,The Beauty of Fractals: Exploring Infinite Crinkliness,1
GitHub for data science,How to Use GitHub Like a Pro in Data Science,Git for Data Science: Tips & Tricks You Need to Know,0
What is an AI project manager?,Meet the AI Project Manager: Job Description,Behind the Scenes: AI Project Manager's Duties,0
Interviewing 10 upwork millionaires,Top Insights from 10 Upwork Millionaires,Unveiling the Success of 10 Upwork Millionaires,0
LLM alignment,How LLMs Can Align with Your Values,Aligning LLMs with Human Values: A Guide,1
"Naive Bayes, Naive Bayes filter",How Naive Bayes Works: A Step-by-Step Breakdown,Naive Bayes vs Spam Emails: Why It’s Still Relevant,0
SHAP values,How SHAP Values Can Improve Your ML Models,SHAP Values: The Missing Link in ML Interpretability,0
Fine-tuning LLMs on human feedback,5 Steps to Fine-Tune LLMs Like a Pro,How Human Feedback Transforms LLMs,1
Fuzzy decision trees,Fuzzy Logic: The Future of Decision Trees,Fuzzy Decision Trees: When Precise Isn't Enough,1
2 plots for exploratory data analysis,Exploring Data Like a Pro in 2 Plots,Uncover Insights with These 2 EDA Plots,0
LLM evals,How LLMs Stack Up: My Rigorous Evaluation Process,LLM Evaluations 101: What You Need to Know,1
data pipelines for ML projects,Build Efficient ML Data Pipelines in 3 Easy Steps,The Ultimate Guide to ML Data Pipelines,1
How to handle missing data,How to Handle Missing Data Like a Pro,4 Steps to Fix Missing Data in Your Dataset,0
"Naive Bayes, Naive Bayes filter",Understanding Naive Bayes: The Simplest Yet Most Effective Classifier,Naive Bayes Filter Explained: A Beginner's Guide,1
Silhouette plots,5 Key Insights from Silhouette Plots Revealed,Unleash the Power of Silhouette Plots in 5 Steps,0
Building an AI app in 4 days,Build an AI App in 4 Days: My Rapid Development Journey,4-Day AI App Challenge: From Idea to Launch,1
Fine-tuning LLMs with QLoRA,5 Steps to Fine-Tune LLMs with QLoRA,How I Used QLoRA to Boost LLM Performance,0
AI engineer vs ML engineer,AI Engineer vs ML Engineer: Who Wins?,AI Engineer vs ML Engineer: Career Paths Compared,1
Regularization (ML),Boost Your ML Model with These Regularization Tips,Regularization 101: Simplified for ML Beginners,1
reinforcement learning with human feedback (RLHF),RLHF in 15 Minutes: Boost Your AI Skills,Real-World RLHF Examples That Will Blow Your Mind,0
text embedding models,Text Embedding Models Explained in 5 Minutes,How Text Embedding Models Transform NLP,0
multimodal AI,How Multimodal AI Combines Text & Images,Multimodal AI: Beyond Text for Better Insights,1
model quantization,Reduce Model Size & Speed Up Inference with Quantization,The Ultimate Guide to Model Quantization in 2024,0
Python essentials for data science,Master Python for Data Science in 30 Minutes,Boost Your Data Science Skills with These 7 Python Tips,0
Key lessons from interviews with top upwork data science freelancers,Insider Secrets: Upwork Data Science Success Stories,Maximize Your Upwork Data Science Gigs: Expert Advice,1
Interviewing 10 upwork millionaires,10 Upwork Millionaires Reveal Their Secrets!,How These Upwork Millionaires Made $1M+,1
"P-Values. definition, examples, and misconceptions","Understanding P-Values: Definitions, Examples, and Misconceptions","P-Values Decoded: Definitions, Examples, and Common Mistakes",0
Building data pipelines with Python and GitHub actions,Build Data Pipelines Effortlessly with Python & GitHub Actions,How to Set Up Data Pipelines with Python & GitHub Actions,1
the Mapper algorithm,Master the Mapper Algorithm in Just 5 Minutes,Mapper Algorithm: The Power Behind Data Analysis,0
2 plots for exploratory data analysis,Uncover Insights with These 2 EDA Plots,Boost Your EDA Skills with 2 Key Plots,1
Why I quit my 6F data science job,6 Months and $100K Later: My AI Journey Post-Job,My Shocking 1-Year Post-Job Quit Success Story,0
Hierarchical clustering,5 Steps to Master Hierarchical Clustering,Unleash the Power of Hierarchical Clustering Today!,0
wavelet transform,Wavelet Transform: Decoding Signals Like a Pro,How Wavelet Transform Can Revolutionize Your Data Analysis,0
7 ways to make money as a data entrepreneur.,Data Entrepreneur Income Boosters Revealed,7 Ways to Monetize Your Data Expertise,1
Optimization,7 Optimization Hacks to Boost Your Productivity,The Ultimate Guide to Optimization for Beginners,1
Continual learning (ML),7 Key ML Concepts to Master Continually,Master ML Continuously: Tips from an Expert,0
What is an AI project manager?,The Ultimate Guide to AI Project Management,Behind the Scenes: AI Project Manager's Duties,0
Genetic algorithm,How Genetic Algorithms Can Solve Complex Problems,Genetic Algorithms: The Ultimate Optimization Tool,1
decision trees,How Decision Trees Can Boost Your Predictions,Master Decision Trees with These 5 Tips,1
Python essentials for data science,Boost Your Data Science Skills with These 7 Python Tips,From Beginner to Pro: Python for Data Science Basics,1
Gini value vs gini coefficient vs Gini impurity,"3 Key Concepts: Gini Value, Coefficient, & Impurity Explained","Gini Value, Coefficient, & Impurity: Which One to Use?",0
Intro independent component analysis,5 Key Concepts in Independent Component Analysis,How I Simplify Independent Component Analysis in 5 Minutes,1
Genetic algorithm,Build Your Own Genetic Algorithm in 15 Minutes,Master Genetic Algorithms with These 3 Simple Steps,0
principal component analysis,Principal Component Analysis Simplified,How PCA Can Transform Your Data Analysis,0
data pipelines for ML projects,The Ultimate Guide to ML Data Pipelines,Streamline Your ML Workflow with Data Pipelines,0
Hyperparameter optimization,How to Boost Model Performance with Hyperparameter Tuning,The Ultimate Guide to Hyperparameter Optimization for ML Models,1
LLM evals,How LLMs Stack Up: My Rigorous Evaluation Process,The 7 Crucial Tests for Evaluating LLMs Effectively,1
persistent homology,Unleash the Power of Persistent Homology in Data Science,How Persistent Homology Can Transform Your Data Analysis,1
Power law scaling on Youtube,From Zero to Hero: Scaling YouTube with Power Laws,The Power Law Formula for YouTube Growth,1
"Deploying ML solutions with FastAPI, Docker, and AWS","The Ultimate Guide to ML Deployment with FastAPI, Docker, and AWS","Speed Up ML Deployment: FastAPI, Docker, AWS - Step-by-Step",0
Gaussian process regression,Gaussian Process Regression Simplified,Master Gaussian Processes in Minutes,0
Mechanistic interpretability,5 Key Techniques for Mechanistic Interpretability,Dive into Mechanistic Interpretability: What You Need to Know,0
principal component analysis,Master PCA in Just 10 Minutes,How PCA Can Transform Your Data Analysis,0
Self-organizing map,5 Key Concepts of Self-Organizing Maps Explained,How Self-Organizing Maps Can Revolutionize Data Analysis,1
"AI risk, safety, and alignment",How to Ensure AI Safety in 2025,Navigating AI Ethics: What You Need to Know,0
AI engineer vs ML engineer,Key Differences: AI Engineer vs ML Engineer Explained,AI vs ML Engineer: Roles & Responsibilities,1
Expectation maximization,How Expectation Maximization Can Boost Your Data Science Skills,Maximizing Expectations: A Beginner's Guide to EM Algorithm,1
Intro independent component analysis,How I Simplify Independent Component Analysis in 5 Minutes,Independent Component Analysis: What It Is and Why It Matters,1
Python tutorial for AI beginners,Python AI Basics: Your Ultimate Guide,Python AI Tutorial: Fast Track to Success,0
"Deploying ML solutions with FastAPI, Docker, and AWS","Get ML Deployed with FastAPI, Docker, and AWS in 30 Min","Speed Up ML Deployment: FastAPI, Docker, AWS - Step-by-Step",0
decision tree ensembles,Master Decision Tree Ensembles in Just 10 Minutes,The Power of Decision Tree Ensembles Explained,0
decision tree ensembles,How Decision Tree Ensembles Can Boost Your Predictions,Build Stronger Models with These Decision Tree Techniques,1
Hyperparameter optimization,Master Hyperparameter Optimization in Just 10 Minutes,The Ultimate Guide to Hyperparameter Optimization for ML Models,1
Key lessons from interviews with top upwork data science freelancers,How Top Upwork Data Scientists Boost Their Income,Top Tips from Pro Upwork Data Scientists Revealed,1
Self-organizing map,5 Key Concepts of Self-Organizing Maps Explained,The Power of Self-Organizing Maps in Dimensionality Reduction,1
Customer segmentation with text embeddings,Advanced Customer Segmentation Using Text Embeddings,Transform Customer Data with Text Embeddings,0
Neural network dropout,What is Neural Network Dropout? Explained!,Dropout Technique: Boosting Neural Network Performance,0
What is an AI project manager?,5 Key Roles of an AI Project Manager,Meet the AI Project Manager: Job Description,0
Fuzzy decision trees,Build Better Decisions with Fuzzy Logic Trees,Fuzzy Decision Trees: When Precise Isn't Enough,0
Building an AI app in 4 days,4-Day AI App Challenge: From Idea to Launch,4-Day Guide: Building Your First AI App,0
"My $15,000 content creation strategy",How I Generated $15K+ with These Content Tactics,"My Proven $15,000 Content Creation Blueprint",1
reinforcement learning with human feedback (RLHF),How RLHF Transforms AI: A Beginner's Guide,Real-World RLHF Examples That Will Blow Your Mind,0
"Probability, likelihood, odds, chance, odds ratio",Probability vs Likelihood vs Odds: What’s the Difference?,"Odds, Probability, and Likelihood: A Beginner’s Guide",0
"P-Values. definition, examples, and misconceptions","P-Values Explained: Definitions, Examples, and Myths","P-Values 101: Definitions, Examples, and Common Misunderstandings",0
Building an LLM from scratch,From Scratch: How I Built an LLM in 5 Days,How to Build an LLM: The Complete Guide,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,Why You Need Sensitivity Analysis Now,Sensitivity Analysis 101: A Data Scientist's Guide,1
Fourier transform,5 Key Points of Fourier Transform Explained,Fourier Transform: The Essential Guide for Beginners,1
Logistic regression,How Logistic Regression Works in 10 Minutes,Master Logistic Regression with These 3 Simple Steps,0
How to measure fat tailed distributions,The Ultimate Guide to Measuring Fat Tails,Mastering Fat Tailed Distributions: A Step-by-Step Guide,0
Expectation maximization,Unleash the Power of Expectation Maximization in 5 Minutes,Solving Complex Problems with Expectation Maximization,0
model distillation,How Model Distillation Can Save Your Time & Resources,The Power of Knowledge Distillation Explained,1
Interviewing 10 upwork millionaires,How These Upwork Millionaires Made $1M+,Unveiling the Success of 10 Upwork Millionaires,0
Data science project management,The Ultimate Guide to Data Science Project Management,From Chaos to Control: Master Data Science Project Management,0
Gaussian process regression,Gaussian Process Regression Simplified,Gaussian Processes for Predictive Modeling,0
How to handle imbalanced data in ML,5 Tricks to Handle Imbalanced Data Like a Pro,Avoid These 3 Mistakes When Handling Imbalanced Data,1
AI agents,Unleash AI Agents: The Ultimate Productivity Hack,Master AI Agents: Automate Your Life and Work,1
direct policy optimization (DPO),5 Key Steps in Direct Policy Optimization (DPO),DPO Simplified: The Ultimate Guide,1
decision trees,Decision Trees 101: The Ultimate Guide,How Decision Trees Can Boost Your Predictions,0
Fine-tuning LLMs to think (advanced reasoning),How to Make LLMs Think Better: Tips Revealed,Boost LLMs' Thinking Skills with These Techniques,0
SHAP values,How SHAP Values Can Improve Your ML Models,Unlock SHAP Values for Better Model Interpretation,0
AI for business,How AI Can Boost Your Business Efficiency,AI in Business: 3 Common Mistakes to Avoid,1
"ROC, AUC. Generalizing to decision trees and other classifiers","ROC, AUC Explained: Your Guide to Decision Trees","ROC, AUC Simplified: Decision Trees and Beyond",1
decision trees,How Decision Trees Can Boost Your Predictions,Build Your Own Decision Tree in 10 Minutes,0
SHAP values,SHAP Values Explained: A Beginner's Guide,SHAP Values: The Missing Link in ML Interpretability,0
